trip_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_zone,dropoff_zone,fare_amount,tip_amount,total_amount,payment_type,driver_id
35,01-01-2022,01-01-2022,1,9.49,Bronx,Manhattan,31.48,5.8,37.28,Credit Card,181
36,01-01-2022,01-01-2022,4,8.4,Staten Island,Manhattan,27.25,5.65,32.9,Credit Card,153
37,01-01-2022,01-01-2022,1,2.32,Brooklyn,Staten Island,7.79,1.97,9.76,Credit Card,123
38,01-01-2022,01-01-2022,4,4.7,Queens,Staten Island,12.76,3.07,15.83,Cash,125
39,01-01-2022,01-01-2022,3,3.96,Brooklyn,Bronx,11.5,2.76,14.26,Credit Card,109
40,01-01-2022,01-01-2022,3,3.6,Queens,Brooklyn,12.53,1.98,14.51,Cash,160
41,01-01-2022,01-01-2022,3,6.46,Queens,Queens,17.17,3.98,21.15,Cash,139
42,01-01-2022,01-01-2022,2,10.71,Manhattan,Queens,33.97,5.87,39.84,Credit Card,143
43,01-01-2022,01-01-2022,2,3.65,Manhattan,Manhattan,9.99,0.67,10.66,Cash,111
44,01-01-2022,01-01-2022,4,5.82,Manhattan,Staten Island,17.46,4.76,22.22,Cash,121
45,01-01-2022,01-01-2022,3,6.17,Brooklyn,Staten Island,20.36,5.55,25.91,Credit Card,126
46,01-01-2022,01-01-2022,2,14.66,Bronx,Manhattan,43.81,5.73,49.54,Credit Card,166
47,01-01-2022,01-01-2022,3,14.34,Queens,Brooklyn,47.4,13.2,60.6,Credit Card,181
48,01-01-2022,01-01-2022,2,12.1,Staten Island,Queens,35.41,8.48,43.89,Credit Card,168
49,01-01-2022,01-01-2022,1,4,Manhattan,Bronx,14,2.1,16.1,Credit Card,113
50,01-01-2022,01-01-2022,1,1.49,Brooklyn,Brooklyn,4.37,0.58,4.95,Cash,124
51,01-01-2022,01-01-2022,3,5.1,Brooklyn,Staten Island,13.51,3.97,17.48,Credit Card,151
52,01-01-2022,01-01-2022,4,4.37,Brooklyn,Manhattan,12.68,2.89,15.57,Credit Card,194
53,01-01-2022,01-01-2022,2,7.84,Staten Island,Queens,25.42,3.68,29.1,Cash,184
54,01-01-2022,01-01-2022,2,11.78,Staten Island,Manhattan,39.44,8.3,47.74,Credit Card,158
55,01-01-2022,01-01-2022,1,12.95,Manhattan,Staten Island,38.33,7.39,45.72,Credit Card,137
56,01-01-2022,01-01-2022,1,12.75,Staten Island,Manhattan,39.45,7.15,46.6,Credit Card,119
57,01-01-2022,01-01-2022,4,5.72,Manhattan,Queens,19.13,4.04,23.17,Cash,177
58,01-01-2022,01-01-2022,4,10.46,Staten Island,Manhattan,34.66,6.39,41.05,Credit Card,119
59,01-01-2022,01-01-2022,4,5.04,Staten Island,Queens,15.91,3.4,19.31,Credit Card,155
60,01-01-2022,01-01-2022,3,1.38,Staten Island,Manhattan,4.57,1.27,5.84,Credit Card,129
61,01-01-2022,01-01-2022,1,10.67,Manhattan,Manhattan,32.82,9.79,42.61,Credit Card,140
62,01-01-2022,01-01-2022,3,0.64,Queens,Queens,1.6,0.36,1.96,Credit Card,183
63,01-01-2022,01-01-2022,1,6.43,Manhattan,Manhattan,16.34,4.61,20.95,Cash,170
64,01-01-2022,01-01-2022,1,5.28,Queens,Brooklyn,18.37,4.86,23.23,Credit Card,162
65,01-01-2022,01-01-2022,2,10.55,Brooklyn,Bronx,27.9,3.45,31.35,Credit Card,168
66,01-01-2022,01-01-2022,1,11.61,Brooklyn,Brooklyn,33.72,9.55,43.27,Credit Card,194
67,01-01-2022,01-01-2022,1,4.91,Manhattan,Bronx,16.86,1.14,18,Credit Card,128
68,01-01-2022,01-01-2022,3,12.27,Queens,Brooklyn,33.07,4.38,37.45,Credit Card,178
69,01-01-2022,01-01-2022,1,4.76,Queens,Bronx,15.92,3.34,19.26,Cash,188
70,01-01-2022,01-01-2022,3,6.97,Queens,Manhattan,23.13,4.2,27.33,Cash,176
71,01-01-2022,01-01-2022,4,11.04,Brooklyn,Queens,38.49,7.14,45.63,Credit Card,143
72,01-01-2022,01-01-2022,1,10.55,Manhattan,Queens,29.35,7.3,36.65,Credit Card,187
73,01-01-2022,01-01-2022,1,14.82,Bronx,Staten Island,41.72,4.12,45.84,Cash,178
74,01-01-2022,01-01-2022,3,3.76,Queens,Bronx,12.79,3.78,16.57,Cash,187
75,01-01-2022,01-01-2022,4,10.1,Queens,Staten Island,27.61,4.4,32.01,Cash,189
76,01-01-2022,01-01-2022,2,9.34,Bronx,Staten Island,28.47,8.18,36.65,Credit Card,182
77,01-01-2022,01-01-2022,4,13.77,Manhattan,Bronx,44.17,6.44,50.61,Cash,156
78,01-01-2022,01-01-2022,3,2.77,Queens,Queens,7.68,1.54,9.22,Credit Card,123
79,01-01-2022,01-01-2022,4,11.4,Manhattan,Bronx,39.2,6.37,45.57,Credit Card,118
80,01-01-2022,01-01-2022,3,8.74,Queens,Manhattan,27.67,6.06,33.73,Cash,116
81,01-01-2022,01-01-2022,3,4.48,Staten Island,Staten Island,11.41,1.09,12.5,Credit Card,168
82,01-01-2022,01-01-2022,2,7.38,Queens,Staten Island,19.45,2.92,22.37,Credit Card,160
83,01-01-2022,01-01-2022,1,5.34,Staten Island,Bronx,14.37,0.96,15.33,Cash,103
84,01-01-2022,01-01-2022,3,8.9,Manhattan,Staten Island,24.43,4.87,29.3,Credit Card,121
85,01-01-2022,01-01-2022,3,13.39,Queens,Queens,43.26,12.57,55.83,Cash,173
86,01-01-2022,01-01-2022,2,8.75,Brooklyn,Staten Island,22.65,1.39,24.04,Cash,184
87,01-01-2022,01-01-2022,3,9.66,Brooklyn,Bronx,27.54,5.92,33.46,Cash,188
88,01-01-2022,01-01-2022,1,8.02,Bronx,Queens,27.36,6.67,34.03,Credit Card,105
89,01-01-2022,01-01-2022,2,1.24,Brooklyn,Queens,3.79,0.39,4.18,Cash,129
90,01-01-2022,01-01-2022,1,3.88,Staten Island,Staten Island,10.73,1.27,12,Cash,192
91,01-01-2022,01-01-2022,1,7.63,Brooklyn,Bronx,26.38,2.65,29.03,Credit Card,174
92,01-01-2022,01-01-2022,2,5,Brooklyn,Staten Island,13.72,1.71,15.43,Cash,110
93,01-01-2022,01-01-2022,3,3.14,Brooklyn,Manhattan,10.69,0.83,11.52,Credit Card,147
94,01-01-2022,01-01-2022,1,7.81,Queens,Manhattan,25.19,3.59,28.78,Credit Card,145
95,01-01-2022,01-01-2022,1,5.18,Bronx,Queens,16.79,2.39,19.18,Cash,126
96,01-01-2022,01-01-2022,1,4.24,Manhattan,Staten Island,13.84,3.49,17.33,Cash,118
97,01-01-2022,01-01-2022,1,7.23,Bronx,Manhattan,21.74,5.44,27.18,Credit Card,185
98,01-01-2022,01-01-2022,2,2.43,Staten Island,Brooklyn,8.05,2.01,10.06,Cash,191
99,01-01-2022,01-01-2022,2,13.95,Queens,Manhattan,46.54,8.92,55.46,Credit Card,158
100,01-01-2022,01-01-2022,4,13.08,Queens,Staten Island,37.42,4.92,42.34,Cash,167
101,01-01-2022,01-01-2022,4,10.76,Brooklyn,Staten Island,31.21,4.77,35.98,Credit Card,153
102,01-01-2022,01-01-2022,1,2.04,Brooklyn,Manhattan,6.91,0.89,7.8,Cash,182
103,01-01-2022,01-01-2022,3,11.75,Staten Island,Staten Island,35.54,6.95,42.49,Cash,116
104,01-01-2022,01-01-2022,1,12.22,Queens,Staten Island,41.14,11.7,52.84,Credit Card,149
105,01-01-2022,01-01-2022,3,11.63,Manhattan,Brooklyn,36.36,4.4,40.76,Cash,139
106,01-01-2022,01-01-2022,1,2.15,Bronx,Queens,6.65,1.1,7.75,Cash,199
107,01-01-2022,01-01-2022,4,9.84,Queens,Staten Island,24.9,5.32,30.22,Credit Card,186
108,01-01-2022,01-01-2022,4,12.6,Manhattan,Bronx,35,9.14,44.14,Credit Card,191
109,01-01-2022,01-01-2022,3,8.87,Manhattan,Queens,26.63,3.02,29.65,Credit Card,110
110,01-01-2022,01-01-2022,1,9.87,Bronx,Queens,30.47,3.66,34.13,Cash,113
111,01-01-2022,01-01-2022,3,7.15,Manhattan,Bronx,22.38,6.07,28.45,Cash,112
112,01-01-2022,01-01-2022,4,8.17,Staten Island,Manhattan,26.28,1.84,28.12,Credit Card,187
113,01-01-2022,01-01-2022,1,1,Manhattan,Brooklyn,3.16,0.64,3.8,Credit Card,179
114,01-01-2022,01-01-2022,1,9.76,Staten Island,Staten Island,32.68,8.66,41.34,Cash,127
115,01-01-2022,01-01-2022,3,1.68,Manhattan,Manhattan,4.7,1.32,6.02,Credit Card,193
116,01-01-2022,01-01-2022,2,6.81,Brooklyn,Bronx,21.39,1.14,22.53,Credit Card,143
117,01-01-2022,01-01-2022,3,4.74,Manhattan,Brooklyn,12.09,1.72,13.81,Credit Card,162
118,01-01-2022,01-01-2022,4,8.41,Staten Island,Brooklyn,25.06,2.86,27.92,Cash,160
119,01-01-2022,01-01-2022,4,2.43,Manhattan,Brooklyn,6.73,1.29,8.02,Cash,190
120,01-01-2022,01-01-2022,4,10.53,Manhattan,Bronx,30.34,6.32,36.66,Credit Card,116
121,01-01-2022,01-01-2022,4,12.03,Manhattan,Manhattan,34.34,10.3,44.64,Cash,149
122,01-01-2022,01-01-2022,4,2.87,Staten Island,Staten Island,7.35,1.31,8.66,Cash,125
123,01-01-2022,01-01-2022,2,2.01,Manhattan,Brooklyn,5.96,1.12,7.08,Credit Card,106
124,01-01-2022,01-01-2022,1,2.61,Bronx,Brooklyn,9.12,1.4,10.52,Cash,198
125,01-01-2022,01-01-2022,3,13.22,Bronx,Manhattan,37,3.22,40.22,Credit Card,178
126,01-01-2022,01-01-2022,3,8.16,Staten Island,Brooklyn,26.41,3.32,29.73,Cash,115
127,01-01-2022,01-01-2022,4,7.28,Brooklyn,Brooklyn,22.19,2.48,24.67,Credit Card,184
128,01-01-2022,01-01-2022,3,2.05,Bronx,Bronx,5.79,1.45,7.24,Credit Card,116
129,01-01-2022,01-01-2022,4,9.92,Queens,Queens,25.69,4.79,30.48,Credit Card,189
130,01-01-2022,01-01-2022,2,13.09,Bronx,Manhattan,35.55,4.41,39.96,Cash,134
131,01-01-2022,01-01-2022,2,12.51,Queens,Manhattan,41.06,7.07,48.13,Credit Card,183
132,01-01-2022,01-01-2022,1,9.58,Staten Island,Manhattan,26.62,2.79,29.41,Cash,183
133,01-01-2022,01-01-2022,2,1.59,Brooklyn,Bronx,4.2,0.4,4.6,Credit Card,122
134,01-01-2022,01-01-2022,2,2.13,Queens,Bronx,6.03,1.6,7.63,Cash,168
135,01-01-2022,01-01-2022,1,1.21,Queens,Staten Island,3.73,1.07,4.8,Credit Card,108
136,01-01-2022,01-01-2022,3,4.23,Bronx,Bronx,13.55,0.95,14.5,Credit Card,186
137,01-01-2022,01-01-2022,4,2.47,Queens,Manhattan,7.13,1.72,8.85,Cash,117
138,01-01-2022,01-01-2022,4,4.27,Staten Island,Staten Island,12.8,2.09,14.89,Credit Card,192
139,01-01-2022,01-01-2022,3,6.08,Staten Island,Queens,17.97,2.65,20.62,Credit Card,174
140,01-01-2022,01-01-2022,1,14.17,Staten Island,Brooklyn,35.55,7.9,43.45,Cash,147
141,01-01-2022,01-01-2022,3,9.35,Bronx,Brooklyn,27.07,3.16,30.23,Cash,171
142,01-01-2022,01-01-2022,2,12.61,Brooklyn,Staten Island,38.93,2.15,41.08,Credit Card,190
143,01-01-2022,01-01-2022,1,10.8,Bronx,Queens,33.16,3.43,36.59,Credit Card,165
144,01-01-2022,01-01-2022,1,2.13,Staten Island,Brooklyn,6.92,0.67,7.59,Cash,122
145,01-01-2022,01-01-2022,1,11.17,Bronx,Staten Island,35.41,2.07,37.48,Credit Card,184
146,01-01-2022,01-01-2022,4,4.49,Staten Island,Bronx,12.47,1.63,14.1,Credit Card,109
147,01-01-2022,01-01-2022,3,9.77,Manhattan,Manhattan,26.92,4.54,31.46,Cash,137
148,01-01-2022,01-01-2022,1,5.44,Manhattan,Queens,16.12,3.77,19.89,Credit Card,158
149,01-01-2022,01-01-2022,1,14.97,Queens,Brooklyn,48.4,6.36,54.76,Credit Card,167
150,01-01-2022,01-01-2022,1,4.32,Brooklyn,Manhattan,11.21,1.11,12.32,Cash,184
151,01-01-2022,01-01-2022,3,4.55,Manhattan,Staten Island,15.69,1.69,17.38,Credit Card,142
152,01-01-2022,01-01-2022,4,13.99,Staten Island,Brooklyn,42.57,11.61,54.18,Credit Card,111
153,01-01-2022,01-01-2022,2,0.86,Bronx,Manhattan,2.41,0.24,2.65,Credit Card,152
154,01-01-2022,01-01-2022,4,10.6,Bronx,Bronx,33.85,9.13,42.98,Credit Card,113
155,01-01-2022,01-01-2022,1,11.02,Queens,Queens,28.04,4.54,32.58,Credit Card,151
156,01-01-2022,01-01-2022,4,12.63,Bronx,Staten Island,37.69,10.69,48.38,Cash,183
157,01-01-2022,01-01-2022,4,14.63,Manhattan,Brooklyn,43.68,6.64,50.32,Credit Card,171
158,01-01-2022,01-01-2022,2,14.65,Bronx,Bronx,39,3.68,42.68,Credit Card,190
159,01-01-2022,01-01-2022,3,1.45,Manhattan,Queens,4.84,0.91,5.75,Cash,160
160,01-01-2022,01-01-2022,3,12.42,Manhattan,Queens,40.95,8.06,49.01,Credit Card,140
161,01-01-2022,01-01-2022,4,9.87,Brooklyn,Bronx,26.18,5.47,31.65,Credit Card,120
162,01-01-2022,01-01-2022,4,9.89,Queens,Brooklyn,28.32,4.33,32.65,Credit Card,147
163,01-01-2022,01-01-2022,3,2.36,Staten Island,Queens,6.14,0.38,6.52,Cash,155
164,01-01-2022,01-01-2022,3,9.93,Manhattan,Staten Island,33.25,6.87,40.12,Credit Card,134
165,01-01-2022,01-01-2022,2,14.75,Queens,Manhattan,41.64,11.79,53.43,Cash,143
166,01-01-2022,01-01-2022,1,13.72,Staten Island,Staten Island,40.33,11.67,52,Cash,138
167,01-01-2022,01-01-2022,4,6.87,Bronx,Queens,19.4,3.86,23.26,Credit Card,114
168,01-01-2022,01-01-2022,3,1.08,Queens,Manhattan,3.03,0.17,3.2,Cash,111
169,01-01-2022,01-01-2022,4,5.75,Queens,Bronx,18.67,1.43,20.1,Cash,197
170,01-01-2022,01-01-2022,4,12.48,Queens,Manhattan,40.53,10.48,51.01,Cash,107
171,01-01-2022,01-01-2022,3,10.67,Bronx,Manhattan,32.2,8.29,40.49,Cash,193
172,01-01-2022,01-01-2022,2,7.16,Bronx,Manhattan,22.61,6.48,29.09,Credit Card,166
173,01-01-2022,01-01-2022,4,1.3,Queens,Queens,3.92,0.75,4.67,Credit Card,193
174,01-01-2022,01-01-2022,2,6.69,Brooklyn,Brooklyn,16.92,4.5,21.42,Credit Card,192
175,01-01-2022,01-01-2022,3,7.3,Manhattan,Queens,18.73,4.8,23.53,Credit Card,100
176,01-01-2022,01-01-2022,1,13.96,Bronx,Brooklyn,40.26,7.95,48.21,Cash,179
177,01-01-2022,01-01-2022,1,9.8,Brooklyn,Bronx,31.85,7.83,39.68,Credit Card,141
178,01-01-2022,01-01-2022,4,5.02,Bronx,Bronx,17.13,1.39,18.52,Credit Card,130
179,01-01-2022,01-01-2022,3,8.12,Queens,Bronx,20.54,4.31,24.85,Cash,173
180,01-01-2022,01-01-2022,2,1.46,Brooklyn,Bronx,4.19,1.21,5.4,Credit Card,129
181,01-01-2022,01-01-2022,4,14.6,Staten Island,Bronx,39.77,3.6,43.37,Cash,142
182,01-01-2022,01-01-2022,3,5.72,Manhattan,Staten Island,18.96,4.47,23.43,Credit Card,125
183,01-01-2022,01-01-2022,3,7.43,Manhattan,Queens,24.86,3.24,28.1,Credit Card,111
184,01-01-2022,01-01-2022,2,5.65,Bronx,Brooklyn,15.29,3.89,19.18,Credit Card,158
185,01-01-2022,01-01-2022,4,10.4,Manhattan,Bronx,33.39,7.49,40.88,Cash,168
186,01-01-2022,01-01-2022,3,10.1,Staten Island,Staten Island,32.64,9.19,41.83,Credit Card,172
187,01-01-2022,01-01-2022,3,10.87,Brooklyn,Staten Island,29.1,6.63,35.73,Credit Card,110
188,01-01-2022,01-01-2022,3,4.39,Brooklyn,Staten Island,12.88,1.97,14.85,Cash,146
189,01-01-2022,01-01-2022,2,5.08,Queens,Queens,15.85,0.84,16.69,Credit Card,122
190,01-01-2022,01-01-2022,4,2.32,Brooklyn,Bronx,5.86,1.45,7.31,Credit Card,180
191,01-01-2022,01-01-2022,4,10,Bronx,Staten Island,29.05,4.42,33.47,Cash,142
192,01-01-2022,01-01-2022,4,1.08,Staten Island,Staten Island,2.87,0.62,3.49,Cash,176
193,01-01-2022,01-01-2022,4,9.17,Queens,Bronx,27.89,2.13,30.02,Credit Card,180
194,01-01-2022,01-01-2022,1,13.11,Bronx,Queens,43.83,11.95,55.78,Cash,186
195,01-01-2022,01-01-2022,1,13.42,Bronx,Staten Island,40.59,6.45,47.04,Cash,138
196,01-01-2022,01-01-2022,4,7.01,Bronx,Brooklyn,17.78,4.98,22.76,Cash,172
197,01-01-2022,01-01-2022,2,7.16,Manhattan,Manhattan,18.11,4.11,22.22,Credit Card,181
198,01-01-2022,01-01-2022,1,1.62,Bronx,Manhattan,5.03,0.4,5.43,Credit Card,154
199,01-01-2022,01-01-2022,3,10.23,Manhattan,Manhattan,28.93,5.64,34.57,Cash,117
200,01-01-2022,01-01-2022,1,12.41,Brooklyn,Queens,38.13,10.58,48.71,Cash,193
201,01-01-2022,01-01-2022,3,4.05,Manhattan,Staten Island,10.79,2.7,13.49,Credit Card,141
202,01-01-2022,01-01-2022,4,6.61,Bronx,Manhattan,21.66,3.35,25.01,Cash,125
203,01-01-2022,01-01-2022,1,12.66,Staten Island,Manhattan,42.55,12.29,54.84,Cash,117
204,01-01-2022,01-01-2022,2,13.22,Staten Island,Bronx,44.81,5.25,50.06,Credit Card,184
205,01-01-2022,01-01-2022,1,4.03,Brooklyn,Staten Island,11.3,1.62,12.92,Credit Card,140
206,01-01-2022,01-01-2022,1,8.48,Bronx,Staten Island,26.8,6.36,33.16,Credit Card,141
207,01-01-2022,01-01-2022,1,3.29,Manhattan,Bronx,9.14,0.99,10.13,Cash,132
208,01-01-2022,01-01-2022,4,1.98,Staten Island,Staten Island,6.46,1.16,7.62,Cash,142
209,01-01-2022,01-01-2022,2,13.71,Queens,Brooklyn,35.93,8.34,44.27,Cash,113
210,01-01-2022,01-01-2022,1,12.4,Bronx,Queens,40.46,8.54,49,Credit Card,154
211,01-01-2022,01-01-2022,2,11.52,Bronx,Bronx,33.87,3.01,36.88,Cash,157
212,01-01-2022,01-01-2022,4,1.21,Queens,Manhattan,4.06,0.84,4.9,Credit Card,109
213,01-01-2022,01-01-2022,3,12.73,Staten Island,Staten Island,41.23,7.96,49.19,Credit Card,127
214,01-01-2022,01-01-2022,1,6.85,Queens,Brooklyn,19.7,3.73,23.43,Cash,113
215,01-01-2022,01-01-2022,2,5.46,Brooklyn,Brooklyn,18.58,4.77,23.35,Credit Card,182
216,01-01-2022,01-01-2022,2,8.42,Manhattan,Queens,23.44,2.25,25.69,Cash,125
217,01-01-2022,01-01-2022,4,1.82,Manhattan,Brooklyn,6.31,1.5,7.81,Cash,173
218,01-01-2022,01-01-2022,1,11.47,Staten Island,Staten Island,37.47,9,46.47,Credit Card,116
219,01-01-2022,01-01-2022,3,8.95,Queens,Staten Island,31.24,7.21,38.45,Cash,133
220,01-01-2022,01-01-2022,2,3.21,Bronx,Brooklyn,8.2,1.45,9.65,Credit Card,113
221,01-01-2022,01-01-2022,1,3.23,Bronx,Staten Island,8.96,1.33,10.29,Credit Card,125
222,01-01-2022,01-01-2022,3,3.17,Bronx,Staten Island,10.27,1.53,11.8,Credit Card,133
223,01-01-2022,01-01-2022,2,1.33,Brooklyn,Manhattan,4.55,1.06,5.61,Cash,182
224,01-01-2022,01-01-2022,2,9.02,Brooklyn,Bronx,22.81,3.98,26.79,Cash,123
225,01-01-2022,01-01-2022,3,12.69,Bronx,Staten Island,31.73,4.27,36,Cash,194
226,01-01-2022,01-01-2022,3,0.75,Staten Island,Staten Island,2.07,0.43,2.5,Credit Card,169
227,01-01-2022,01-01-2022,4,1.21,Brooklyn,Queens,4.06,1.05,5.11,Credit Card,119
228,01-01-2022,01-01-2022,1,8.81,Brooklyn,Bronx,28.78,1.88,30.66,Cash,138
229,01-01-2022,01-01-2022,1,12.38,Manhattan,Bronx,35.16,10.3,45.46,Credit Card,144
230,01-01-2022,01-01-2022,4,5.24,Manhattan,Bronx,13.11,0.97,14.08,Cash,133
231,01-01-2022,01-01-2022,2,5.57,Staten Island,Brooklyn,17.01,3.03,20.04,Cash,121
232,01-01-2022,01-01-2022,3,9.15,Brooklyn,Manhattan,25.05,4.76,29.81,Cash,170
233,01-01-2022,01-01-2022,3,4.48,Brooklyn,Manhattan,14.54,1.23,15.77,Cash,132
234,01-01-2022,01-01-2022,3,0.89,Queens,Queens,2.62,0.73,3.35,Credit Card,105
235,01-01-2022,01-01-2022,2,11.16,Staten Island,Bronx,35.47,5.95,41.42,Cash,115
236,01-01-2022,01-01-2022,3,9.57,Staten Island,Bronx,32.08,2.75,34.83,Credit Card,171
237,01-01-2022,01-01-2022,3,8.92,Queens,Staten Island,27.08,6.17,33.25,Credit Card,122
238,01-01-2022,01-01-2022,4,11.25,Queens,Brooklyn,31.9,6.89,38.79,Cash,117
239,01-01-2022,01-01-2022,2,10.29,Manhattan,Brooklyn,33.64,9.78,43.42,Cash,113
240,01-01-2022,01-01-2022,1,3.49,Staten Island,Queens,9.65,1.55,11.2,Credit Card,149
241,01-01-2022,01-01-2022,4,5.61,Staten Island,Manhattan,19.03,2.23,21.26,Cash,160
242,01-01-2022,01-01-2022,4,2.33,Queens,Bronx,5.99,0.39,6.38,Credit Card,135
243,01-01-2022,01-01-2022,1,2.38,Bronx,Queens,7.94,1.85,9.79,Credit Card,114
244,01-01-2022,01-01-2022,4,10.3,Bronx,Brooklyn,26.69,5.45,32.14,Credit Card,104
245,01-01-2022,01-01-2022,2,12.95,Manhattan,Brooklyn,33.1,9.7,42.8,Credit Card,152
246,01-01-2022,01-01-2022,3,14.46,Bronx,Brooklyn,41.4,9.44,50.84,Cash,147
247,01-01-2022,01-01-2022,2,9.61,Bronx,Bronx,33.22,9.41,42.63,Cash,178
248,01-01-2022,01-01-2022,1,3.17,Bronx,Bronx,11.04,3.29,14.33,Cash,110
249,01-01-2022,01-01-2022,1,2.03,Brooklyn,Bronx,5.49,0.86,6.35,Credit Card,101
250,01-01-2022,01-01-2022,4,12.29,Manhattan,Staten Island,32.55,2.85,35.4,Cash,186
251,01-01-2022,01-01-2022,2,8.89,Queens,Manhattan,25.36,2.51,27.87,Credit Card,123
252,01-01-2022,01-01-2022,2,9.47,Bronx,Brooklyn,26.87,3.48,30.35,Credit Card,181
253,01-01-2022,01-01-2022,1,11.83,Brooklyn,Brooklyn,38.56,6.83,45.39,Credit Card,167
254,01-01-2022,01-01-2022,2,10.7,Bronx,Staten Island,31.5,2.54,34.04,Cash,178
255,01-01-2022,01-01-2022,1,12.6,Brooklyn,Brooklyn,41.33,5.18,46.51,Cash,111
256,01-01-2022,01-01-2022,2,1.32,Manhattan,Brooklyn,4.29,0.54,4.83,Credit Card,158
257,01-01-2022,01-01-2022,2,11.34,Bronx,Bronx,34.91,1.78,36.69,Cash,166
258,01-01-2022,01-01-2022,2,12.84,Brooklyn,Bronx,42.8,5.93,48.73,Credit Card,131
259,01-01-2022,01-01-2022,1,4.65,Staten Island,Manhattan,12.53,0.99,13.52,Cash,135
260,01-01-2022,01-01-2022,4,9.79,Staten Island,Brooklyn,26.06,4.1,30.16,Cash,120
261,01-01-2022,01-01-2022,2,5.06,Brooklyn,Queens,16.45,1.63,18.08,Cash,169
262,01-01-2022,01-01-2022,1,14.39,Bronx,Brooklyn,39.5,10.09,49.59,Credit Card,165
263,01-01-2022,01-01-2022,1,0.98,Bronx,Brooklyn,2.45,0.17,2.62,Cash,108
264,01-01-2022,01-01-2022,2,8.91,Manhattan,Manhattan,30.4,8.1,38.5,Cash,175
265,01-01-2022,01-01-2022,2,2.91,Manhattan,Queens,9.09,1.77,10.86,Credit Card,143
